ID	Emoji	Code	Hex	Decimal	HTML entity hex	HTML entity decimal	URL encode	JS encode	Markdown	Name (English)
656	🧔🏼‍♂️	U+1F9D4 U+1F3FC U+200D U+2642 U+FE0F	1F9D4 1F3FC 200D 2642 FE0F	129492 127996 8205 9794 65039	&#x1F9D4;&#x1F3FC;&#x200D;&#x2642;&#xFE0F;	&#129492;&#127996;&#8205;&#9794;&#65039;	%F0%9F%A7%94%F0%9F%8F%BC%E2%80%8D%E2%99%82%EF%B8%8F	\ud83e\uddd4\ud83c\udffc\u200d\u2642\ufe0f		man: medium-light skin tone, beard
657	🧔🏽	U+1F9D4 U+1F3FD	1F9D4 1F3FD	129492 127997	&#x1F9D4;&#x1F3FD;	&#129492;&#127997;	%F0%9F%A7%94%F0%9F%8F%BD	\ud83e\uddd4\ud83c\udffd		person: medium skin tone, beard
658	🧔🏽‍♀️	U+1F9D4 U+1F3FD U+200D U+2640 U+FE0F	1F9D4 1F3FD 200D 2640 FE0F	129492 127997 8205 9792 65039	&#x1F9D4;&#x1F3FD;&#x200D;&#x2640;&#xFE0F;	&#129492;&#127997;&#8205;&#9792;&#65039;	%F0%9F%A7%94%F0%9F%8F%BD%E2%80%8D%E2%99%80%EF%B8%8F	\ud83e\uddd4\ud83c\udffd\u200d\u2640\ufe0f		woman: medium skin tone, beard
659	🧔🏽‍♂️	U+1F9D4 U+1F3FD U+200D U+2642 U+FE0F	1F9D4 1F3FD 200D 2642 FE0F	129492 127997 8205 9794 65039	&#x1F9D4;&#x1F3FD;&#x200D;&#x2642;&#xFE0F;	&#129492;&#127997;&#8205;&#9794;&#65039;	%F0%9F%A7%94%F0%9F%8F%BD%E2%80%8D%E2%99%82%EF%B8%8F	\ud83e\uddd4\ud83c\udffd\u200d\u2642\ufe0f		man: medium skin tone, beard
660	🧔🏾	U+1F9D4 U+1F3FE	1F9D4 1F3FE	129492 127998	&#x1F9D4;&#x1F3FE;	&#129492;&#127998;	%F0%9F%A7%94%F0%9F%8F%BE	\ud83e\uddd4\ud83c\udffe		person: medium-dark skin tone, beard
661	🧔🏾‍♀️	U+1F9D4 U+1F3FE U+200D U+2640 U+FE0F	1F9D4 1F3FE 200D 2640 FE0F	129492 127998 8205 9792 65039	&#x1F9D4;&#x1F3FE;&#x200D;&#x2640;&#xFE0F;	&#129492;&#127998;&#8205;&#9792;&#65039;	%F0%9F%A7%94%F0%9F%8F%BE%E2%80%8D%E2%99%80%EF%B8%8F	\ud83e\uddd4\ud83c\udffe\u200d\u2640\ufe0f		woman: medium-dark skin tone, beard
662	🧔🏾‍♂️	U+1F9D4 U+1F3FE U+200D U+2642 U+FE0F	1F9D4 1F3FE 200D 2642 FE0F	129492 127998 8205 9794 65039	&#x1F9D4;&#x1F3FE;&#x200D;&#x2642;&#xFE0F;	&#129492;&#127998;&#8205;&#9794;&#65039;	%F0%9F%A7%94%F0%9F%8F%BE%E2%80%8D%E2%99%82%EF%B8%8F	\ud83e\uddd4\ud83c\udffe\u200d\u2642\ufe0f		man: medium-dark skin tone, beard
663	🧔🏿	U+1F9D4 U+1F3FF	1F9D4 1F3FF	129492 127999	&#x1F9D4;&#x1F3FF;	&#129492;&#127999;	%F0%9F%A7%94%F0%9F%8F%BF	\ud83e\uddd4\ud83c\udfff		person: dark skin tone, beard
664	🧔🏿‍♀️	U+1F9D4 U+1F3FF U+200D U+2640 U+FE0F	1F9D4 1F3FF 200D 2640 FE0F	129492 127999 8205 9792 65039	&#x1F9D4;&#x1F3FF;&#x200D;&#x2640;&#xFE0F;	&#129492;&#127999;&#8205;&#9792;&#65039;	%F0%9F%A7%94%F0%9F%8F%BF%E2%80%8D%E2%99%80%EF%B8%8F	\ud83e\uddd4\ud83c\udfff\u200d\u2640\ufe0f		woman: dark skin tone, beard
665	🧔🏿‍♂️	U+1F9D4 U+1F3FF U+200D U+2642 U+FE0F	1F9D4 1F3FF 200D 2642 FE0F	129492 127999 8205 9794 65039	&#x1F9D4;&#x1F3FF;&#x200D;&#x2642;&#xFE0F;	&#129492;&#127999;&#8205;&#9794;&#65039;	%F0%9F%A7%94%F0%9F%8F%BF%E2%80%8D%E2%99%82%EF%B8%8F	\ud83e\uddd4\ud83c\udfff\u200d\u2642\ufe0f		man: dark skin tone, beard
666	💁	U+1F481	1F481	128129	&#x1F481;	&#128129;	%F0%9F%92%81	\ud83d\udc81	:information_desk_person:	person tipping hand
667	💁‍♀️	U+1F481 U+200D U+2640 U+FE0F	1F481 200D 2640 FE0F	128129 8205 9792 65039	&#x1F481;&#x200D;&#x2640;&#xFE0F;	&#128129;&#8205;&#9792;&#65039;	%F0%9F%92%81%E2%80%8D%E2%99%80%EF%B8%8F	\ud83d\udc81\u200d\u2640\ufe0f		woman tipping hand
668	💁‍♂️	U+1F481 U+200D U+2642 U+FE0F	1F481 200D 2642 FE0F	128129 8205 9794 65039	&#x1F481;&#x200D;&#x2642;&#xFE0F;	&#128129;&#8205;&#9794;&#65039;	%F0%9F%92%81%E2%80%8D%E2%99%82%EF%B8%8F	\ud83d\udc81\u200d\u2642\ufe0f		man tipping hand
669	💁🏻	U+1F481 U+1F3FB	1F481 1F3FB	128129 127995	&#x1F481;&#x1F3FB;	&#128129;&#127995;	%F0%9F%92%81%F0%9F%8F%BB	\ud83d\udc81\ud83c\udffb		person tipping hand: light skin tone
670	💁🏻‍♀️	U+1F481 U+1F3FB U+200D U+2640 U+FE0F	1F481 1F3FB 200D 2640 FE0F	128129 127995 8205 9792 65039	&#x1F481;&#x1F3FB;&#x200D;&#x2640;&#xFE0F;	&#128129;&#127995;&#8205;&#9792;&#65039;	%F0%9F%92%81%F0%9F%8F%BB%E2%80%8D%E2%99%80%EF%B8%8F	\ud83d\udc81\ud83c\udffb\u200d\u2640\ufe0f		woman tipping hand: light skin tone
671	💁🏻‍♂️	U+1F481 U+1F3FB U+200D U+2642 U+FE0F	1F481 1F3FB 200D 2642 FE0F	128129 127995 8205 9794 65039	&#x1F481;&#x1F3FB;&#x200D;&#x2642;&#xFE0F;	&#128129;&#127995;&#8205;&#9794;&#65039;	%F0%9F%92%81%F0%9F%8F%BB%E2%80%8D%E2%99%82%EF%B8%8F	\ud83d\udc81\ud83c\udffb\u200d\u2642\ufe0f		man tipping hand: light skin tone
672	💁🏼	U+1F481 U+1F3FC	1F481 1F3FC	128129 127996	&#x1F481;&#x1F3FC;	&#128129;&#127996;	%F0%9F%92%81%F0%9F%8F%BC	\ud83d\udc81\ud83c\udffc		person tipping hand: medium-light skin tone
673	💁🏼‍♀️	U+1F481 U+1F3FC U+200D U+2640 U+FE0F	1F481 1F3FC 200D 2640 FE0F	128129 127996 8205 9792 65039	&#x1F481;&#x1F3FC;&#x200D;&#x2640;&#xFE0F;	&#128129;&#127996;&#8205;&#9792;&#65039;	%F0%9F%92%81%F0%9F%8F%BC%E2%80%8D%E2%99%80%EF%B8%8F	\ud83d\udc81\ud83c\udffc\u200d\u2640\ufe0f		woman tipping hand: medium-light skin tone
